item_id,order_id,product_id,quantity,unit_price,discount_percent
1061,424,219,4,329.66,0
400,148,62,1,430.79,0
250,96,407,1,475.1,0
208,76,465,1,486.5,0
1874,758,372,1,1384.48,5
653,253,12,1,66.9,16
1129,456,484,5,936.9,0
619,234,492,1,1332.85,0
1945,784,444,1,712.59,10
241,92,166,1,951.53,0
1758,715,7,4,146.1,8
74,27,361,1,662.4,6
1770,720,278,-4,312.37,23
1948,786,184,4,627.68,0
459,172,30,3,1203.94,0
450,169,91,5,1039.47,37
1145,462,6,3,681.58,0
1658,672,372,2,1602.44,0
1994,806,514,5,184.35,0
222,82,456,4,813.5,3
2051,830,28,3,55.4,15
170,63,59,2,331.44,6
1030,412,242,-5,129.58,12
422,159,451,4,1232.35,3
1141,461,327,-5,1083.55,0
1896,765,28,2,56.0,23
152,56,137,5,200.33,81
1932,779,113,5,358.21,0
237,90,171,1,624.65,6
407,150,152,2,1043.71,23
29,12,478,5,1545.83,0
1462,588,263,1,120.07,12
1987,802,200,2,710.77,4
357,133,150,3,410.58,0
2109,854,450,2,905.33,39
578,218,163,5,28.53,0
1881,760,302,4,261.05,10
1587,641,237,3,1107.18,39
2017,815,42,5,331.57,3
1726,699,484,3,675.34,13
1473,593,520,4,337.11,63
1458,587,246,3,989.76,0
1075,430,322,5,902.08,0
243,93,309,4,414.24,0
1280,519,38,2,480.15,0
482,179,7,5,284.81,0
746,290,461,4,1071.68,0
2108,853,106,5,530.59,34
1301,526,337,5,462.93,32
1397,563,368,1,568.99,9
87,32,277,1,831.82,34
1851,750,401,5,608.65,5
1122,453,379,-3,324.61,7
1045,419,12,1,62.05,0
121,44,89,2,553.75,0
620,235,208,2,1289.25,36
1944,784,235,5,1198.88,13
1342,543,392,1,761.64,0
421,158,16,3,410.34,0
2200,890,229,4,1258.32,14
1891,764,415,1,697.47,0
1492,601,96,1,494.95,19
1700,687,442,2,565.52,11
1404,565,443,5,811.12,0
444,167,73,2,837.9,0
167,62,494,1,1205.15,0
68,26,198,3,999.34,0
2077,840,66,2,665.64,28
186,69,479,3,176.47,0
916,361,430,4,1551.86,0
84,30,321,1,1082.68,0
845,332,249,3,871.12,4
996,394,426,2,177.52,0
526,198,461,2,767.89,5
601,226,159,2,386.27,0
230,87,308,3,437.35,0
1803,733,507,-4,1645.66,0
1475,594,220,1,1161.05,2
200,74,80,5,980.87,0
969,382,224,1,1017.24,15
1628,657,340,3,1190.5,1
223,83,81,3,586.99,8
2003,809,245,1,968.31,0
1351,545,138,2,349.36,0
1652,669,96,4,472.56,11
1118,451,88,4,728.33,0
1334,539,261,2,512.02,34
970,383,61,4,1684.37,0
1869,756,307,3,1394.59,9
1066,426,265,5,509.78,28
1990,803,103,5,1287.0,5
1088,434,7,3,256.07,0
333,127,216,4,652.93,2
1268,516,283,4,385.17,0
1735,703,151,5,666.94,27
538,203,67,-1,972.56,17
50,18,248,-1,1749.14,14
1575,637,405,4,680.58,0
483,179,55,2,1093.74,89
2146,869,203,1,546.65,0
2035,823,22,5,1001.15,0
1354,546,158,5,898.7,12
485,180,397,2,662.29,5
988,390,134,4,1077.95,15
1856,752,331,3,1147.85,0
1810,735,356,4,1663.73,6
2116,856,5,4,536.55,0
1162,469,82,2,622.76,0
1157,467,71,5,12.26,6
2172,880,475,2,902.6,32
1833,744,371,3,956.35,8
1248,508,65,1,1129.21,0
910,359,326,1,70.64,0
541,204,155,2,722.7,19
1850,749,514,5,226.18,8
1220,495,427,2,1049.19,0
1859,752,506,3,189.47,0
872,342,396,2,344.97,47
1567,634,79,5,1270.2,13
204,75,82,2,985.43,3
2173,880,51,1,620.09,13
312,119,268,1,936.63,0
1200,487,321,2,953.91,0
2185,885,483,2,1569.79,7
1164,469,407,1,662.49,47
1124,454,95,2,566.53,0
1677,680,102,5,79.31,0
1824,741,507,-5,1387.55,0
72,27,420,-4,750.98,0
2093,846,13,5,515.84,90
753,295,229,5,868.8,0
2144,869,208,3,1662.59,15
2021,817,95,4,636.52,0
1208,490,284,2,66.31,0
822,324,21,4,252.2,8
648,250,136,5,523.91,0
1172,473,505,1,885.38,14
2062,834,297,3,782.04,0
1096,437,79,5,1511.36,8
1867,755,68,5,432.27,0
416,154,308,-5,446.14,3
88,32,175,4,233.52,9
22,10,92,2,655.75,17
659,254,253,4,286.22,12
1022,409,370,3,1194.93,0
876,344,298,4,914.46,4
1542,624,188,5,168.38,0
1995,806,338,4,148.05,19
179,67,455,4,1320.62,0
2061,834,386,3,179.77,13
961,379,41,1,752.6,11
932,368,192,4,869.25,33
55,19,130,5,495.32,0
480,178,283,2,412.15,0
2080,841,267,-3,210.57,0
1520,614,436,2,798.21,0
716,277,394,3,781.57,0
2038,825,307,5,882.66,0
757,296,441,3,1772.67,15
1548,626,150,4,476.35,3
2090,846,500,4,1370.7,20
388,145,221,4,938.6,4
70,26,178,3,21.38,0
1786,727,82,1,939.88,0
71,26,203,3,560.15,30
553,209,470,4,335.15,6
439,165,163,2,51.28,0
1665,675,41,5,683.68,0
490,182,177,2,212.15,0
1385,559,359,5,1483.53,0
2107,853,496,4,848.52,68
21,10,362,2,605.53,24
1699,687,520,5,387.05,0
2125,859,9,4,309.33,0
300,114,111,5,19.8,0
1952,787,492,4,830.45,0
500,186,329,3,1523.88,5
557,210,461,3,901.98,81
214,79,138,5,478.29,0
140,51,436,4,1041.86,10
1638,663,130,3,523.33,15
1407,566,311,5,168.97,0
1775,722,409,1,1139.73,0
1341,542,398,3,84.6,0
1741,707,354,5,878.27,0
709,275,444,5,672.93,0
1616,653,408,4,1072.27,92
476,177,108,5,92.81,0
1897,765,501,5,335.94,25
124,46,205,2,535.36,5
640,245,360,4,294.46,0
1878,759,386,4,184.59,0
547,207,329,1,1699.68,16
1739,705,263,2,153.02,3
1010,402,28,5,36.0,0
401,149,284,3,101.5,6
154,56,201,5,446.83,87
605,228,384,2,1163.09,0
1579,638,454,4,158.16,6
432,162,262,4,339.26,0
1020,408,32,3,254.21,0
591,222,26,2,891.59,3
2157,873,459,1,101.83,0
325,124,23,4,913.32,10
1781,725,99,3,588.15,0
466,174,164,3,1413.68,0
1914,772,168,3,385.94,12
931,368,201,3,449.54,10
1922,776,129,3,1879.71,0
1757,715,298,2,1141.35,0
1117,450,296,1,391.67,0
1621,655,116,3,731.0,6
291,111,502,4,423.11,0
25,11,86,1,1069.05,0
598,226,64,5,854.34,8
614,231,293,3,186.47,0
1970,793,297,3,711.1,36
1138,460,99,1,718.83,15
1193,485,237,2,1039.71,8
495,184,185,4,1259.63,0
1612,652,434,5,202.16,27
396,147,70,3,982.67,1
779,305,305,5,413.26,0
111,41,116,4,1071.73,0
382,143,176,5,883.95,13
1951,787,419,3,581.86,0
431,161,15,1,938.86,62
406,150,194,2,493.07,0
1326,536,59,2,506.08,0
1415,568,321,2,917.72,0
75,28,239,3,414.36,2
1107,444,110,5,570.12,0
758,297,206,4,1441.02,0
1561,633,120,1,1002.23,0
1861,754,18,1,1138.39,0
1650,669,135,5,1015.26,5
2030,821,229,1,841.01,0
1292,523,229,3,1200.44,0
1997,807,102,2,87.46,0
1761,716,151,2,523.82,0
389,145,516,5,1731.54,0
44,16,117,4,936.99,19
1921,775,262,5,346.77,8
99,36,87,2,1340.74,10
943,372,183,2,791.67,0
203,75,371,1,1428.53,10
778,304,96,1,418.51,14
698,270,176,5,549.42,0
1787,727,455,2,1311.01,0
1598,646,471,3,372.96,0
259,99,409,2,1716.85,0
1763,717,318,-4,646.79,0
1984,800,420,4,645.9,0
1033,413,67,4,848.55,14
1265,515,415,2,813.22,6
26,11,424,1,113.38,0
748,292,217,3,823.21,12
2184,884,440,5,328.55,0
2086,844,294,3,1570.79,0
935,369,1,2,1082.8,16
1376,556,254,4,1251.51,0
1015,406,381,2,377.04,19
1643,666,132,3,175.34,0
1696,686,346,4,718.72,0
775,303,436,3,977.53,0
1566,634,124,1,275.72,37
808,317,106,5,542.32,0
1221,496,262,4,453.21,12
1999,807,508,5,583.23,0
1983,799,113,2,412.19,7
1353,546,475,4,1529.28,10
184,69,167,2,195.49,0
1624,656,231,1,1718.18,0
731,285,3,4,177.17,14
2158,873,516,1,1281.41,14
2191,887,277,2,443.48,7
524,198,290,4,1069.82,30
1306,528,39,1,1048.58,0
1785,726,115,1,1163.53,40
1084,432,345,4,1334.26,0
1778,723,212,4,184.07,71
937,369,191,5,993.26,3
1464,588,423,1,895.59,1
1913,771,240,2,661.8,9
253,98,6,5,1102.86,4
317,120,485,5,131.54,0
950,375,208,2,1701.22,14
405,150,157,2,595.99,0
812,320,502,2,441.79,2
514,192,294,1,985.18,0
384,143,161,3,952.96,0
769,302,330,1,567.84,16
62,23,322,-3,938.53,36
747,291,370,3,1170.02,1
1196,486,70,5,850.1,0
228,85,192,-2,591.54,9
593,224,18,3,1069.03,6
1361,549,510,4,647.02,0
1838,746,73,5,1524.42,12
1027,411,448,1,1553.75,0
1863,754,326,1,82.77,6
2174,880,239,5,548.13,0
982,388,328,4,126.96,5
507,189,298,2,1272.23,1
1453,585,250,2,19.91,28
1767,719,495,3,1326.97,0
1483,597,487,4,423.8,0
1323,535,439,4,1334.25,8
609,229,306,2,716.26,0
235,88,119,3,1256.69,0
1092,435,78,3,285.84,3
744,290,408,5,705.5,0
141,51,152,5,1759.29,20
251,97,413,5,749.67,0
892,351,31,5,443.35,36
806,316,390,2,1025.62,7
258,99,429,5,299.4,3
1498,604,279,-5,799.1,0
596,225,509,1,645.88,0
1797,730,380,2,347.97,0
736,287,162,4,930.37,9
552,209,280,3,1158.63,95
1156,467,188,4,142.65,0
1440,579,141,3,127.43,0
351,131,473,4,68.96,7
177,66,209,-1,1330.27,0
460,172,468,4,1140.4,13
1364,551,184,5,1074.11,39
245,95,199,5,7.92,0
1623,656,225,1,1453.11,0
1985,801,114,1,88.39,0
815,321,358,2,328.74,0
949,374,89,3,608.57,0
1634,661,232,4,1147.81,13
2015,815,185,1,733.18,11
1343,543,197,1,1411.91,8
579,218,347,3,1106.95,0
695,268,301,2,464.82,0
487,180,391,1,1156.18,24
1242,507,266,1,499.67,36
288,110,318,2,462.37,0
276,105,392,1,418.84,0
1170,472,11,2,977.93,15
225,83,77,5,552.36,36
2148,870,344,1,382.19,10
286,109,174,1,251.16,0
1262,514,265,2,530.64,3
19,8,348,4,338.23,25
1953,787,38,2,366.09,26
508,190,433,3,758.94,0
420,157,148,4,626.89,0
1715,694,151,1,609.93,0
1418,570,355,3,938.66,0
306,117,397,2,1112.74,40
438,165,384,1,1536.49,35
930,367,346,1,581.11,0
1504,607,114,5,90.06,28
1607,650,462,2,252.94,16
448,168,466,1,1789.4,0
669,257,143,1,1542.24,11
1900,767,347,2,979.42,0
955,377,135,3,1128.53,26
1394,562,324,5,1338.37,21
224,83,228,1,515.27,0
906,357,270,2,149.87,0
2,2,187,2,761.96,5
1365,551,77,5,508.09,18
539,204,366,2,763.15,26
1266,515,59,4,500.36,39
1565,634,10,2,1156.01,6
377,141,337,5,492.41,0
2047,829,186,3,202.95,0
153,56,205,1,826.49,15
665,256,141,3,213.1,14
1401,564,15,4,788.88,0
1212,492,230,1,379.15,17
1875,758,375,-2,1145.31,12
414,154,67,2,531.6,0
1816,737,472,5,590.0,13
1340,542,505,3,805.6,0
262,100,11,2,770.71,6
959,378,287,5,1182.95,0
1537,621,92,3,570.52,0
2103,851,349,4,1104.29,0
2196,888,143,1,996.1,0
1939,782,388,1,1161.03,0
1673,679,334,1,262.4,0
58,21,388,1,1265.44,81
899,354,50,1,615.29,0
486,180,418,3,942.05,0
1335,539,520,2,243.85,0
1804,733,54,2,416.72,0
2210,895,429,2,292.79,0
246,95,320,5,881.01,2
2205,892,436,1,1069.55,0
1709,691,93,5,742.35,0
2120,857,484,5,1045.89,0
239,91,51,5,826.72,33
2175,881,122,4,183.08,0
814,321,438,-5,1105.27,3
1630,659,244,3,736.06,23
1215,493,208,1,881.15,1
1182,481,513,3,277.3,0
1631,659,34,3,303.5,0
1794,729,445,2,1550.21,3
2028,820,338,4,127.95,15
2079,841,421,3,1507.39,1
1205,489,113,4,476.61,0
252,97,485,4,100.48,3
1946,784,493,3,848.54,0
2149,870,286,1,322.95,0
1993,805,75,5,806.49,3
125,46,257,4,130.27,0
1357,548,116,4,988.03,0
213,79,489,5,1135.96,0
1275,518,217,3,454.52,0
1463,588,71,2,12.6,25
220,81,99,5,445.39,0
16,7,96,2,603.76,11
1691,685,240,3,660.76,6
82,30,410,4,67.84,30
458,171,98,1,238.2,0
1177,478,227,3,28.0,0
494,184,358,5,540.34,37
287,110,136,1,490.96,0
1406,565,54,2,560.83,0
1430,575,365,4,200.02,0
1178,479,383,2,470.66,67
799,314,277,2,687.28,0
1070,428,451,3,799.29,0
1302,527,103,1,1867.77,0
645,249,6,2,566.47,23
805,316,99,5,465.21,0
142,51,29,4,833.94,32
817,322,138,2,495.38,0
1390,561,315,5,36.9,0
857,336,50,3,604.75,0
917,361,176,2,819.95,15
1771,720,402,1,63.89,0
1651,669,158,5,1217.27,12
1839,746,290,5,1375.96,0
436,164,146,1,569.59,0
356,133,107,3,194.04,15
1931,778,500,4,1197.86,20
454,170,287,5,1235.73,32
523,197,391,1,688.23,11
2176,881,17,2,1109.95,15
1161,468,440,4,496.41,7
1121,453,4,3,1186.23,28
1754,713,379,4,362.93,0
851,333,298,5,1330.22,0
893,351,151,-2,659.2,19
883,348,303,-3,253.18,5
1235,503,14,3,494.3,0
363,135,29,5,568.02,0
338,128,385,5,1831.48,88
1835,745,381,4,300.79,0
1857,752,336,1,408.27,32
2163,876,475,3,1123.03,0
1468,591,508,5,527.97,13
2007,811,353,2,1183.09,12
2179,883,377,1,657.88,8
1780,724,289,2,413.49,0
1454,586,211,4,1142.91,0
962,380,75,2,1206.01,0
515,193,70,2,761.08,12
995,394,6,4,943.1,79
264,101,359,4,1217.1,40
1241,506,124,2,478.92,0
594,224,127,4,843.81,6
884,348,149,2,1308.97,2
780,306,96,2,653.13,16
1081,432,134,3,763.59,0
1541,623,504,5,1709.15,13
270,104,387,3,691.87,0
489,181,5,3,343.92,0
1131,457,185,2,1476.91,3
1751,712,34,1,490.82,11
951,375,110,5,672.52,0
14,6,323,5,858.14,3
2183,884,362,2,768.04,29
1704,688,143,1,1135.36,0
853,334,183,3,832.46,0
1964,791,238,4,1175.03,0
1930,778,432,5,63.35,0
295,112,268,1,1264.61,0
1267,515,387,2,876.42,0
1961,790,439,4,1373.52,4
1428,574,324,3,1017.96,29
1150,464,322,3,1493.34,11
1519,614,85,5,874.37,29
724,281,255,2,638.07,9
151,56,387,3,893.77,0
770,302,378,3,1339.71,0
658,254,169,3,532.58,0
525,198,397,2,1079.31,4
340,128,388,3,1081.05,11
1373,554,176,5,633.5,32
1825,741,73,3,840.59,17
343,129,507,4,1166.19,7
1408,566,259,4,1230.08,0
1098,439,502,1,428.4,0
359,134,144,3,783.24,11
1885,762,324,5,1033.47,8
149,55,394,1,950.51,0
1844,748,234,1,523.63,8
1090,435,169,4,758.0,0
2162,875,436,2,1047.93,0
196,73,482,2,1075.67,0
261,100,486,3,649.9,2
2130,861,387,2,564.25,0
506,189,120,1,1141.38,52
762,299,184,3,957.06,13
1019,407,461,-5,597.5,0
1600,647,148,2,505.55,15
890,350,179,3,1066.26,48
861,338,115,4,1132.98,0
1296,524,306,3,739.13,0
990,391,216,1,441.77,0
48,17,217,4,805.94,0
1038,416,472,5,341.26,0
728,283,122,4,229.49,0
1305,528,129,-2,1199.15,0
2165,877,489,5,1325.75,0
51,18,5,3,680.88,76
1822,740,187,5,757.35,1
1721,698,307,1,1294.24,62
565,214,247,3,517.64,31
855,335,364,2,1236.25,2
133,48,277,2,575.04,0
505,188,46,2,503.05,16
1795,729,9,1,212.29,0
1379,558,334,4,240.69,7
2153,871,249,1,1477.36,18
1277,518,462,4,417.85,0
678,262,274,2,513.07,0
1768,719,245,3,745.28,19
1840,747,36,3,1674.06,0
1134,458,16,2,689.98,0
903,356,52,4,435.43,6
2204,891,33,3,1171.6,7
1576,638,484,3,912.84,23
89,32,142,4,804.86,0
587,220,503,5,1129.34,6
972,384,475,4,1064.05,0
1312,531,188,2,208.87,0
1048,420,170,1,416.88,0
2216,899,161,5,566.55,0
1330,538,508,1,648.72,0
32,13,371,2,899.25,18
150,55,431,3,1754.24,0
1608,650,60,5,859.49,0
1868,756,504,4,1721.2,0
634,242,99,-1,485.48,4
391,146,287,1,1497.4,2
1555,629,356,1,1926.15,18
1384,559,307,4,1687.17,7
1883,761,226,1,627.23,16
1158,468,280,4,1354.07,0
1551,627,91,5,650.28,0
512,192,408,3,754.91,19
649,251,447,1,1156.6,0
1488,600,202,1,416.48,0
1127,455,302,4,223.01,0
1147,463,61,5,860.65,30
129,47,480,3,990.97,0
1725,699,176,5,549.4,0
1471,591,4,-2,1195.93,76
785,307,245,2,863.42,7
1823,740,23,2,584.29,0
415,154,445,3,1862.18,0
127,47,516,1,1228.57,20
1132,457,372,3,1936.89,34
257,99,144,3,1389.79,12
681,263,128,2,755.57,11
164,61,278,1,369.91,0
136,50,496,5,1173.41,0
1093,436,516,3,1531.61,5
1173,474,363,5,934.86,15
745,290,332,4,1028.76,1
1570,636,258,5,491.95,17
825,325,139,5,512.65,9
1250,509,127,2,832.65,0
1139,460,149,3,742.18,0
2040,826,491,4,1163.06,21
2218,900,479,2,265.39,0
1175,476,209,5,907.7,0
947,373,333,5,890.05,0
1481,596,278,4,318.71,11
1680,682,177,3,211.85,0
1717,696,146,1,468.55,0
1601,647,490,4,440.94,11
24,11,383,5,646.39,80
1051,421,342,3,115.21,10
752,295,323,4,899.8,0
1572,636,503,1,1548.24,27
1467,590,270,3,239.97,10
1120,452,36,1,1647.51,1
1391,561,510,5,950.55,0
1966,792,308,3,557.4,13
882,348,92,5,648.92,4
1086,434,398,-5,114.12,9
1639,664,121,2,1012.15,0
2212,896,299,2,317.08,0
613,231,492,2,914.14,11
809,318,263,1,155.61,36
801,314,492,-4,1055.11,19
2089,845,25,1,1345.14,5
101,37,52,1,517.48,0
2111,854,207,5,365.76,0
612,231,504,1,1699.94,5
189,70,184,3,772.59,0
800,314,165,3,559.45,5
1977,796,510,1,642.78,0
1106,444,462,1,398.11,0
2195,888,67,2,814.41,0
334,127,175,3,245.22,0
313,119,432,5,87.27,82
1062,424,487,5,326.81,38
244,94,517,-4,1719.89,0
1036,415,216,5,381.38,0
725,281,476,4,604.97,0
1533,620,336,1,418.93,0
2106,852,159,4,489.84,7
2161,875,189,4,1032.21,12
328,124,82,5,860.32,0
2128,861,304,3,1342.56,49
787,308,353,5,1027.76,7
2098,848,260,3,462.16,0
921,362,439,4,773.01,0
1395,562,11,1,560.63,0
629,238,430,1,1414.22,0
1194,485,247,1,543.78,0
418,156,186,1,104.85,4
1021,408,111,1,22.42,46
1031,412,70,1,901.04,1
49,17,229,3,1045.86,0
2005,810,357,3,451.07,0
730,284,154,5,1260.27,0
1933,780,391,5,1078.55,0
1728,700,84,-2,1422.08,13
880,347,413,5,653.67,37
2147,869,241,1,903.64,0
2126,860,487,1,403.15,0
11,5,381,2,609.93,77
304,116,190,-3,236.3,2
2201,890,198,3,1363.37,25
61,22,80,1,903.57,11
1928,778,434,3,128.59,0
40,15,461,4,663.27,77
229,86,429,3,312.93,0
329,125,417,-2,74.99,0
852,334,513,3,324.07,8
1890,764,172,3,1202.33,32
979,386,65,2,1504.46,26
2190,886,370,5,1255.25,39
1310,530,71,3,7.81,0
657,254,75,3,1207.5,0
341,129,231,3,1390.91,0
86,31,196,1,809.96,2
1635,662,199,2,7.87,0
202,74,516,3,1131.58,0
91,33,80,4,600.12,0
2208,894,447,4,792.44,1
1459,587,500,5,932.88,0
846,332,159,3,548.11,0
2008,811,346,5,858.32,32
303,116,83,2,406.07,37
198,73,32,3,238.69,10
484,179,367,-2,1435.19,0
159,58,162,3,1087.59,14
1991,803,289,1,357.46,36
1472,592,393,3,501.25,22
65,23,185,1,1332.64,27
869,340,302,3,278.09,7
105,38,489,2,995.67,0
1332,538,267,4,198.94,0
1465,589,139,4,409.99,0
1363,551,149,-2,1164.36,1
1524,617,415,2,537.52,20
1653,670,241,5,772.55,19
2132,863,343,4,636.92,2
1056,422,440,2,403.53,12
1505,608,320,1,837.1,76
1625,657,430,2,1050.04,63
1233,502,66,5,479.02,0
2034,823,314,5,720.71,6
1004,400,294,-2,1666.4,0
161,59,59,4,345.72,0
320,121,436,1,969.03,0
1925,777,120,-1,1384.99,0
1078,431,510,3,733.66,0
622,235,25,1,838.95,0
2088,845,470,2,295.67,0
131,48,87,1,1524.73,0
266,102,157,5,983.14,34
1906,769,157,4,799.37,33
1563,633,110,3,601.45,13
265,102,80,1,771.18,0
1935,780,365,5,341.3,0
1253,510,353,2,1533.22,13
1308,529,140,5,325.23,36
1167,471,399,3,1907.68,0
1736,703,122,4,364.7,0
750,293,466,5,1441.89,0
1446,583,108,4,104.66,0
784,307,174,-4,279.89,5
1733,702,385,4,1717.79,0
561,211,58,5,1381.68,37
2043,827,309,1,497.07,0
1485,597,400,3,1232.23,0
1466,590,105,3,981.99,0
546,206,182,2,484.92,48
1227,500,81,3,677.33,64
226,84,252,2,924.65,0
1648,668,103,3,1715.7,30
1244,507,511,4,400.1,0
1903,768,451,5,693.64,0
1924,777,192,4,624.9,0
940,370,258,5,667.65,23
1679,682,194,1,317.76,0
1864,754,482,5,1689.07,0
777,304,190,3,271.01,0
1759,715,318,1,732.19,0
1474,594,240,4,914.39,0
1674,680,307,4,1639.15,5
114,41,152,4,1728.53,3
1523,616,13,4,917.36,0
1740,706,394,4,1530.44,0
532,201,145,3,1893.07,0
2142,868,22,1,1223.86,0
1286,521,291,1,81.77,0
339,128,135,5,1042.08,0
1484,597,155,2,687.51,0
568,215,68,4,800.6,6
1586,641,251,2,1342.67,95
2001,808,219,4,373.53,28
813,321,1,3,989.66,0
1348,544,321,2,841.86,29
908,358,354,2,480.27,0
723,280,286,3,330.66,0
311,119,36,2,1399.1,0
536,202,155,3,1204.01,0
592,223,281,4,1210.67,8
829,326,433,1,1381.08,16
1109,445,159,4,364.83,0
1614,652,59,2,527.25,0
827,325,185,2,1355.64,12
1609,651,467,2,767.68,0
898,353,31,4,340.04,11
1712,693,66,5,350.36,0
1008,402,134,3,1048.07,0
1287,521,492,4,864.36,34
564,213,78,5,347.66,0
1409,566,135,1,1064.56,19
1509,609,131,3,745.0,0
1515,612,416,-1,1469.47,14
1018,407,103,4,1814.78,8
654,253,381,2,374.6,8
1870,756,15,-4,975.59,5
985,389,120,5,1045.76,0
1605,649,205,4,810.52,6
