log_id,delivery_id,drone_id,battery_level,gps_signal,status
116,116,2,78.1,70.0,SUCCESS
117,117,14,68.3,53.2,SUCCESS
118,118,2,66.8,48.6,SUCCESS
119,119,6,84.8,90.6,SUCCESS
120,120,19,62.3,52.1,SUCCESS
121,121,15,87.4,99.9,SUCCESS
122,122,14,60.9,45.2,SUCCESS
123,123,13,58.9,49.7,SUCCESS
124,124,9,51.4,78.1,SUCCESS
125,125,8,76.2,37.1,SUCCESS
126,126,22,55.4,40.3,SUCCESS
127,127,12,56.6,51.8,SUCCESS
128,128,18,53.1,67.7,SUCCESS
129,129,16,29.6,44.1,SUCCESS
130,130,22,80.2,88.5,FAILED_WEATHER
131,131,12,59.6,75.2,SUCCESS
132,132,18,61.5,64.5,SUCCESS
133,133,14,93.5,23.0,FAILED_SIGNAL
134,134,18,69.9,49.4,SUCCESS
135,135,19,47.7,84.9,SUCCESS
136,136,2,65.2,93.4,SUCCESS
137,137,18,62.2,83.4,SUCCESS
138,138,3,84.3,75.2,SUCCESS
139,139,3,64.3,67.6,SUCCESS
140,140,20,34.0,66.1,SUCCESS
141,141,4,95.9,81.7,SUCCESS
142,142,9,50.4,53.3,SUCCESS
143,143,12,58.1,38.1,SUCCESS
144,144,22,67.6,20.9,SUCCESS
145,145,22,51.8,44.4,FAILED_WEATHER
146,146,3,45.7,32.0,SUCCESS
147,147,17,59.9,24.0,SUCCESS
148,148,21,71.1,55.6,SUCCESS
149,149,24,65.0,37.8,SUCCESS
150,150,16,52.5,30.6,FAILED_SIGNAL
151,151,5,61.5,23.9,FAILED_SIGNAL
152,152,22,44.3,60.1,SUCCESS
153,153,5,41.9,30.8,SUCCESS
154,154,19,42.3,72.2,SUCCESS
155,155,1,88.5,78.9,SUCCESS
156,156,1,54.8,82.1,SUCCESS
157,157,3,63.3,27.2,SUCCESS
158,158,25,39.7,47.9,SUCCESS
159,159,9,64.2,21.9,FAILED_SIGNAL
160,160,12,73.4,69.3,SUCCESS
161,161,8,89.8,31.7,FAILED_SIGNAL
162,162,10,86.8,36.0,SUCCESS
163,163,8,37.1,88.2,SUCCESS
164,164,14,50.6,95.9,SUCCESS
165,165,21,77.7,85.6,FAILED_WEATHER
166,166,15,65.5,28.9,FAILED_SIGNAL
167,167,13,87.9,36.7,SUCCESS
168,168,17,81.3,61.9,SUCCESS
169,169,9,48.7,78.4,SUCCESS
170,170,21,38.4,21.5,SUCCESS
171,171,21,45.2,23.5,FAILED_SIGNAL
172,172,21,63.2,83.1,SUCCESS
173,173,2,90.5,72.4,FAILED_WEATHER
174,174,13,31.1,41.7,SUCCESS
175,175,21,67.0,89.1,FAILED_WEATHER
176,176,11,54.9,72.0,SUCCESS
177,177,17,70.1,98.1,SUCCESS
178,178,2,72.1,89.3,SUCCESS
179,179,22,79.1,60.1,SUCCESS
180,180,21,48.6,21.7,FAILED_SIGNAL
181,181,5,61.6,46.7,SUCCESS
182,182,7,81.2,47.7,SUCCESS
183,183,17,86.9,38.9,SUCCESS
184,184,5,40.5,85.0,SUCCESS
185,185,2,45.1,91.2,SUCCESS
186,186,15,86.3,64.4,SUCCESS
187,187,22,71.6,91.8,SUCCESS
188,188,6,47.6,50.6,SUCCESS
189,189,4,74.4,70.0,SUCCESS
190,190,14,54.1,32.2,SUCCESS
191,191,12,49.9,46.3,SUCCESS
192,192,23,83.8,31.1,SUCCESS
193,193,25,64.1,89.0,SUCCESS
194,194,24,74.5,61.9,SUCCESS
195,195,14,84.8,98.1,SUCCESS
196,196,17,56.2,93.4,SUCCESS
197,197,14,62.7,95.9,SUCCESS
198,198,17,74.2,90.4,SUCCESS
199,199,24,59.0,90.4,SUCCESS
200,200,19,87.6,55.4,SUCCESS
201,201,22,42.9,94.7,SUCCESS
202,202,2,86.3,28.5,FAILED_SIGNAL
203,203,13,70.5,69.0,SUCCESS
204,204,2,83.8,38.5,SUCCESS
205,205,13,67.6,48.7,SUCCESS
206,206,3,75.6,60.2,SUCCESS
207,207,11,68.0,49.9,SUCCESS
208,208,2,74.7,31.0,FAILED_SIGNAL
209,209,12,48.1,81.2,FAILED_WEATHER
210,210,5,66.5,53.0,SUCCESS
211,211,5,68.5,80.6,SUCCESS
212,212,11,40.6,98.9,SUCCESS
213,213,18,56.9,46.0,SUCCESS
214,214,16,86.4,52.4,FAILED_WEATHER
215,215,3,41.8,50.4,SUCCESS
216,216,23,68.5,79.4,SUCCESS
217,217,16,69.8,90.1,SUCCESS
218,218,3,65.2,56.1,SUCCESS
219,219,19,44.1,99.7,SUCCESS
220,220,5,64.9,78.8,SUCCESS
221,221,4,76.7,70.5,FAILED_WEATHER
222,222,17,78.2,51.8,SUCCESS
223,223,20,67.9,56.9,SUCCESS
224,224,20,59.2,24.4,SUCCESS
225,225,21,72.3,86.4,SUCCESS
226,226,21,50.4,29.1,SUCCESS
227,227,10,58.4,75.7,SUCCESS
228,228,20,31.2,56.1,SUCCESS
229,229,5,61.7,77.0,SUCCESS
230,230,5,69.9,40.0,SUCCESS
231,231,6,76.6,83.7,SUCCESS
232,232,10,91.3,29.1,FAILED_SIGNAL
233,233,12,77.7,61.9,SUCCESS
234,234,18,67.7,60.9,SUCCESS
235,235,13,82.1,50.4,SUCCESS
236,236,18,80.9,65.2,SUCCESS
237,237,12,71.4,89.5,SUCCESS
238,238,11,56.6,53.6,SUCCESS
239,239,11,36.3,55.7,SUCCESS
240,240,17,62.3,30.5,FAILED_SIGNAL
241,241,4,45.1,40.2,SUCCESS
242,242,9,43.4,63.5,FAILED_WEATHER
243,243,25,56.4,39.0,SUCCESS
244,244,1,64.3,52.8,SUCCESS
245,245,16,62.1,39.6,SUCCESS
246,246,11,29.4,64.6,SUCCESS
247,247,22,80.8,31.9,SUCCESS
248,248,10,47.8,88.3,SUCCESS
249,249,24,81.6,43.9,SUCCESS
250,250,12,92.1,53.4,SUCCESS
251,251,24,80.6,68.9,SUCCESS
252,252,4,80.0,83.0,SUCCESS
253,253,4,40.9,66.3,SUCCESS
254,254,6,74.0,43.9,SUCCESS
255,255,2,55.0,25.4,FAILED_SIGNAL
256,256,14,29.1,43.4,SUCCESS
257,257,10,76.0,42.0,SUCCESS
258,258,21,70.9,75.7,SUCCESS
259,259,4,49.9,78.4,SUCCESS
260,260,10,77.2,58.7,SUCCESS
261,261,11,40.2,98.9,SUCCESS
262,262,1,76.3,45.3,SUCCESS
263,263,19,52.6,48.3,SUCCESS
264,264,6,37.3,61.6,SUCCESS
265,265,10,74.1,34.4,SUCCESS
266,266,12,50.9,98.3,FAILED_WEATHER
267,267,8,66.7,70.0,SUCCESS
268,268,2,76.3,84.0,SUCCESS
269,269,4,88.9,46.7,SUCCESS
270,270,14,62.5,20.9,FAILED_SIGNAL
271,271,1,92.4,83.2,SUCCESS
272,272,3,69.4,45.9,FAILED_WEATHER
273,273,21,41.8,47.3,SUCCESS
274,274,3,58.3,22.3,FAILED_SIGNAL
275,275,5,55.3,47.0,SUCCESS
276,276,13,58.3,83.8,SUCCESS
277,277,4,56.6,70.2,SUCCESS
278,278,15,80.7,46.8,SUCCESS
279,279,25,63.7,79.4,SUCCESS
280,280,19,83.4,78.0,SUCCESS
281,281,10,58.5,36.7,SUCCESS
282,282,14,83.8,91.0,SUCCESS
283,283,11,80.2,42.4,FAILED_WEATHER
284,284,8,42.2,70.1,SUCCESS
285,285,5,72.5,51.2,SUCCESS
286,286,3,82.4,80.1,SUCCESS
287,287,7,76.3,22.5,FAILED_SIGNAL
288,288,1,25.7,39.0,SUCCESS
289,289,23,67.5,37.3,SUCCESS
290,290,18,77.2,82.8,SUCCESS
291,291,24,26.5,55.5,FAILED_WEATHER
292,292,24,81.3,60.0,SUCCESS
293,293,11,52.6,78.6,SUCCESS
294,294,9,59.7,31.5,SUCCESS
295,295,16,51.8,95.0,SUCCESS
296,296,22,78.8,78.0,SUCCESS
297,297,7,62.5,61.8,FAILED_WEATHER
298,298,22,85.1,75.0,SUCCESS
299,299,18,60.3,57.4,FAILED_WEATHER
300,300,4,83.8,72.7,SUCCESS
301,301,13,50.0,45.0,SUCCESS
302,302,22,86.6,35.4,SUCCESS
303,303,23,56.8,55.3,SUCCESS
304,304,4,84.6,41.9,FAILED_WEATHER
305,305,3,71.0,61.1,SUCCESS
306,306,7,58.9,45.5,SUCCESS
307,307,19,62.9,42.7,SUCCESS
308,308,23,46.5,69.1,SUCCESS
309,309,11,23.0,30.4,FAILED_SIGNAL
310,310,16,56.6,28.5,FAILED_SIGNAL
311,311,3,53.6,34.3,SUCCESS
312,312,21,74.0,86.9,SUCCESS
313,313,25,82.4,45.0,SUCCESS
314,314,4,64.5,73.7,SUCCESS
315,315,1,57.6,80.5,SUCCESS
316,316,8,87.5,85.0,SUCCESS
317,317,5,70.8,56.4,SUCCESS
318,318,8,67.9,57.2,SUCCESS
319,319,20,61.8,88.9,SUCCESS
320,320,5,44.1,51.4,SUCCESS
321,321,11,27.2,83.1,SUCCESS
322,322,13,36.3,22.4,FAILED_SIGNAL
323,323,18,36.3,56.9,SUCCESS
324,324,14,57.0,68.4,SUCCESS
325,325,13,27.4,85.4,SUCCESS
326,326,23,89.9,72.0,SUCCESS
327,327,3,54.5,52.1,SUCCESS
328,328,21,49.4,63.8,SUCCESS
329,329,24,62.5,47.3,SUCCESS
330,330,22,78.3,82.7,SUCCESS
331,331,3,69.9,63.6,SUCCESS
332,332,16,42.8,26.2,SUCCESS
333,333,4,50.1,58.9,SUCCESS
334,334,17,80.1,64.4,SUCCESS
335,335,21,51.0,96.5,SUCCESS
336,336,15,71.0,85.1,SUCCESS
337,337,3,51.6,59.5,SUCCESS
338,338,9,41.4,85.4,SUCCESS
339,339,12,44.3,70.9,FAILED_WEATHER
340,340,19,75.2,31.9,SUCCESS
341,341,17,57.5,66.2,SUCCESS
342,342,23,80.5,45.3,SUCCESS
343,343,2,61.2,44.4,SUCCESS
344,344,16,68.5,98.6,SUCCESS
345,345,25,93.1,20.6,SUCCESS
346,346,24,58.3,30.2,FAILED_SIGNAL
347,347,12,64.1,63.9,FAILED_WEATHER
348,348,21,32.7,85.7,SUCCESS
349,349,15,73.9,89.3,SUCCESS
350,350,21,67.3,51.5,SUCCESS
351,351,12,65.8,50.5,SUCCESS
352,352,9,78.1,58.0,SUCCESS
353,353,21,74.8,94.0,SUCCESS
354,354,13,73.8,99.8,SUCCESS
355,355,25,68.4,25.7,FAILED_SIGNAL
356,356,16,44.7,58.9,SUCCESS
357,357,22,53.2,26.8,SUCCESS
358,358,9,69.6,56.5,SUCCESS
359,359,22,81.5,54.1,SUCCESS
360,360,6,91.5,64.2,SUCCESS
361,361,21,55.0,34.9,SUCCESS
362,362,12,70.4,87.7,SUCCESS
363,363,3,77.6,52.9,SUCCESS
364,364,1,62.9,98.3,SUCCESS
365,365,13,81.3,29.1,FAILED_SIGNAL
366,366,25,85.4,31.4,SUCCESS
367,367,24,52.4,98.7,SUCCESS
368,368,4,53.6,26.3,SUCCESS
369,369,8,78.5,57.8,SUCCESS
370,370,23,77.3,26.2,SUCCESS
371,371,2,67.1,45.0,FAILED_WEATHER
372,372,1,84.9,82.3,SUCCESS
373,373,6,88.0,57.5,SUCCESS
374,374,13,61.2,96.8,SUCCESS
375,375,21,50.5,22.8,SUCCESS
376,376,5,65.4,78.2,SUCCESS
377,377,10,91.3,57.9,SUCCESS
378,378,2,88.8,99.2,SUCCESS
379,379,12,41.2,42.9,SUCCESS
380,380,9,70.0,88.1,SUCCESS
381,381,19,76.8,42.5,SUCCESS
382,382,6,48.8,28.9,FAILED_SIGNAL
383,383,2,85.2,32.1,FAILED_SIGNAL
384,384,2,78.3,40.9,SUCCESS
385,385,3,82.3,83.9,SUCCESS
386,386,2,52.4,26.8,FAILED_SIGNAL
387,387,18,65.1,32.3,FAILED_SIGNAL
388,388,15,24.2,81.6,SUCCESS
389,389,8,30.9,71.0,SUCCESS
390,390,1,60.4,47.6,SUCCESS
391,391,17,66.9,29.3,FAILED_SIGNAL
392,392,2,68.7,44.1,SUCCESS
393,393,17,86.2,62.6,SUCCESS
394,394,10,46.9,58.0,SUCCESS
395,395,9,50.2,20.9,SUCCESS
396,396,6,78.8,74.3,SUCCESS
397,397,10,34.0,23.3,SUCCESS
398,398,23,80.6,96.5,SUCCESS
399,399,12,86.0,88.7,SUCCESS
400,400,13,45.6,27.9,SUCCESS
401,401,4,52.7,81.9,SUCCESS
402,402,21,26.7,67.1,SUCCESS
403,403,15,30.1,75.2,SUCCESS
404,404,2,49.8,73.8,SUCCESS
405,405,12,79.7,27.8,FAILED_SIGNAL
406,406,8,71.7,37.6,SUCCESS
407,407,14,82.0,21.9,FAILED_SIGNAL
408,408,23,61.8,72.5,SUCCESS
409,409,9,72.6,71.0,SUCCESS
410,410,16,50.0,88.5,SUCCESS
411,411,9,52.7,92.0,SUCCESS
412,412,6,53.0,91.7,SUCCESS
413,413,23,53.3,57.4,SUCCESS
414,414,18,73.3,93.8,SUCCESS
415,415,16,54.9,92.3,SUCCESS
416,416,11,81.8,33.0,FAILED_SIGNAL
417,417,12,56.7,50.6,SUCCESS
418,418,5,39.7,96.4,SUCCESS
419,419,23,77.0,59.3,SUCCESS
420,420,10,37.8,34.3,FAILED_SIGNAL
421,421,19,61.3,81.5,SUCCESS
422,422,16,46.6,93.0,SUCCESS
423,423,3,94.7,25.8,SUCCESS
424,424,4,74.4,55.7,SUCCESS
425,425,13,72.2,71.2,SUCCESS
426,426,22,68.9,41.3,SUCCESS
427,427,4,73.7,66.0,SUCCESS
428,428,3,39.0,59.3,SUCCESS
429,429,6,63.8,82.5,SUCCESS
430,430,18,70.2,20.3,SUCCESS
431,431,5,86.8,58.6,SUCCESS
432,432,7,71.9,48.7,SUCCESS
433,433,10,68.4,70.6,SUCCESS
434,434,12,87.5,62.8,SUCCESS
435,435,9,88.1,56.8,SUCCESS
436,436,18,50.1,34.1,FAILED_SIGNAL
437,437,22,76.1,35.3,SUCCESS
438,438,19,82.7,70.4,SUCCESS
439,439,7,90.2,70.6,SUCCESS
440,440,21,79.1,35.4,SUCCESS
441,441,13,35.9,59.1,SUCCESS
442,442,20,47.0,44.6,SUCCESS
443,443,25,49.5,55.9,SUCCESS
444,444,14,67.0,24.5,SUCCESS
445,445,5,93.2,29.5,SUCCESS
446,446,9,71.5,56.7,SUCCESS
447,447,23,81.6,31.9,SUCCESS
448,448,14,76.7,23.0,FAILED_SIGNAL
449,449,17,64.3,57.7,SUCCESS
450,450,25,88.3,76.1,SUCCESS
451,451,15,60.1,24.0,FAILED_SIGNAL
452,452,4,68.7,56.5,SUCCESS
453,453,18,83.0,85.4,SUCCESS
454,454,13,41.6,83.9,SUCCESS
455,455,22,46.9,54.1,SUCCESS
456,456,1,49.4,74.3,SUCCESS
457,457,10,40.5,66.1,SUCCESS
458,458,22,48.9,83.4,SUCCESS
459,459,12,77.1,46.8,SUCCESS
460,460,11,53.3,53.2,SUCCESS
461,461,2,55.9,55.1,SUCCESS
462,462,10,72.9,28.0,SUCCESS
463,463,7,49.3,82.2,FAILED_WEATHER
464,464,17,48.1,20.5,FAILED_SIGNAL
465,465,24,50.6,72.1,SUCCESS
466,466,8,56.5,84.6,SUCCESS
467,467,19,41.9,36.5,SUCCESS
468,468,20,43.2,53.0,SUCCESS
469,469,14,79.2,23.0,FAILED_SIGNAL
470,470,15,41.6,96.0,SUCCESS
471,471,6,87.2,47.8,FAILED_WEATHER
472,472,6,83.0,29.4,SUCCESS
473,473,13,70.7,49.0,SUCCESS
474,474,17,45.1,37.5,SUCCESS
475,475,10,76.4,42.1,SUCCESS
476,476,10,65.3,74.8,SUCCESS
477,477,16,80.3,34.1,SUCCESS
478,478,5,57.7,71.6,SUCCESS
479,479,13,55.2,46.7,SUCCESS
480,480,1,62.8,23.5,SUCCESS
481,481,7,62.6,34.1,SUCCESS
482,482,5,72.3,29.3,SUCCESS
483,483,7,42.0,67.4,SUCCESS
484,484,10,71.0,74.1,SUCCESS
485,485,1,35.6,46.1,SUCCESS
486,486,3,55.7,89.6,SUCCESS
487,487,4,41.5,57.7,SUCCESS
488,488,4,29.7,31.6,SUCCESS
489,489,20,64.3,51.0,SUCCESS
490,490,9,58.2,70.6,SUCCESS
491,491,24,88.5,30.2,SUCCESS
492,492,20,51.9,30.9,SUCCESS
493,493,5,84.0,33.7,FAILED_SIGNAL
494,494,1,29.1,68.3,SUCCESS
495,495,20,51.2,68.9,SUCCESS
496,496,5,85.2,88.4,SUCCESS
497,497,6,74.2,59.1,SUCCESS
498,498,21,48.9,87.0,SUCCESS
499,499,16,82.7,78.9,SUCCESS
500,500,2,91.8,66.4,SUCCESS
501,501,17,67.1,31.9,SUCCESS
502,502,8,69.5,98.4,FAILED_WEATHER
503,503,15,47.6,81.5,FAILED_WEATHER
504,504,10,76.6,58.3,SUCCESS
505,505,23,75.4,56.2,SUCCESS
506,506,15,83.2,21.0,SUCCESS
507,507,4,51.2,30.6,FAILED_SIGNAL
508,508,2,32.5,27.3,FAILED_SIGNAL
509,509,23,51.7,76.3,SUCCESS
510,510,11,70.3,22.0,FAILED_SIGNAL
511,511,11,38.5,89.9,SUCCESS
512,512,10,47.4,49.6,SUCCESS
513,513,10,36.8,88.8,SUCCESS
514,514,21,42.3,46.6,FAILED_WEATHER
515,515,14,61.6,41.6,SUCCESS
516,516,5,77.9,83.6,SUCCESS
517,517,5,88.1,90.5,SUCCESS
518,518,22,48.0,95.6,SUCCESS
519,519,23,32.2,28.9,FAILED_SIGNAL
520,520,18,40.2,49.2,SUCCESS
521,521,8,57.6,25.4,SUCCESS
522,522,6,46.2,98.5,SUCCESS
523,523,18,84.2,58.3,SUCCESS
524,524,5,37.6,96.7,SUCCESS
525,525,22,52.7,38.0,SUCCESS
526,526,8,89.8,74.4,SUCCESS
527,527,12,54.0,47.6,SUCCESS
528,528,17,49.3,29.8,SUCCESS
529,529,21,28.4,62.6,SUCCESS
530,530,4,55.5,84.0,SUCCESS
531,531,17,61.9,95.3,SUCCESS
532,532,4,53.1,56.6,SUCCESS
533,533,22,73.1,43.1,SUCCESS
534,534,21,94.9,42.1,SUCCESS
535,535,9,61.9,90.0,SUCCESS
536,536,13,87.6,43.5,SUCCESS
537,537,3,59.5,30.6,FAILED_SIGNAL
538,538,22,82.5,71.6,SUCCESS
539,539,6,89.4,89.7,SUCCESS
540,540,21,38.9,71.6,SUCCESS
541,541,1,84.5,71.7,SUCCESS
542,542,3,46.6,75.7,SUCCESS
543,543,17,84.5,44.3,SUCCESS
544,544,19,68.4,33.7,FAILED_SIGNAL
545,545,7,55.7,97.7,SUCCESS
546,546,20,75.9,48.2,SUCCESS
547,547,5,43.2,93.9,SUCCESS
548,548,23,49.8,97.9,SUCCESS
549,549,15,56.6,73.3,SUCCESS
550,550,5,85.3,23.3,FAILED_SIGNAL
551,551,17,53.1,40.8,SUCCESS
552,552,18,65.4,22.8,FAILED_SIGNAL
553,553,5,71.0,49.8,SUCCESS
554,554,20,85.4,44.1,SUCCESS
555,555,5,89.9,60.0,SUCCESS
556,556,2,30.8,45.6,FAILED_WEATHER
557,557,2,45.1,98.0,SUCCESS
558,558,19,63.6,57.9,SUCCESS
559,559,17,22.3,98.5,SUCCESS
560,560,16,67.8,65.2,SUCCESS
561,561,9,79.9,75.1,SUCCESS
562,562,14,58.7,31.2,SUCCESS
563,563,14,90.1,52.1,SUCCESS
564,564,19,78.3,27.4,FAILED_SIGNAL
565,565,21,27.0,66.7,SUCCESS
566,566,6,52.1,42.2,FAILED_WEATHER
567,567,17,64.7,55.6,SUCCESS
568,568,13,87.8,60.9,SUCCESS
569,569,5,82.9,68.4,SUCCESS
570,570,25,71.3,48.9,SUCCESS
571,571,25,69.9,49.6,SUCCESS
572,572,16,60.4,48.1,SUCCESS
573,573,14,60.2,27.0,SUCCESS
574,574,18,81.1,99.4,SUCCESS
575,575,17,68.8,84.5,SUCCESS
576,576,14,80.4,91.7,SUCCESS
577,577,22,67.2,26.9,FAILED_SIGNAL
578,578,16,52.7,89.4,SUCCESS
579,579,22,71.6,96.8,SUCCESS
580,580,11,89.3,52.8,SUCCESS
581,581,20,86.9,64.5,SUCCESS
582,582,13,77.3,31.0,FAILED_SIGNAL
583,583,16,84.3,64.3,FAILED_WEATHER
584,584,20,58.2,86.8,SUCCESS
585,585,1,41.8,57.1,FAILED_WEATHER
586,586,7,50.9,41.0,SUCCESS
587,587,18,73.8,57.8,SUCCESS
588,588,13,73.0,53.4,SUCCESS
589,589,11,48.1,39.6,SUCCESS
590,590,15,47.5,99.5,SUCCESS
591,591,19,84.0,66.5,SUCCESS
592,592,23,59.7,70.2,SUCCESS
593,593,8,60.7,29.6,SUCCESS
594,594,16,76.5,87.6,SUCCESS
595,595,7,86.1,45.6,SUCCESS
596,596,8,82.2,33.1,FAILED_SIGNAL
597,597,16,55.5,93.0,SUCCESS
598,598,11,72.7,62.4,SUCCESS
599,599,19,63.1,81.3,SUCCESS
600,600,13,62.1,80.2,SUCCESS
