Category,unit_price,Rating,Stock Available,Discount
A,6869.0,3.0105112457770535,Out of Stock,49.0
B,3601.0,3.0405392671861478,In Stock,22.0
C,5024.705208333334,3.0405392671861478,Out of Stock,35.0
D,5146.0,3.0405392671861478,In Stock,10.0
B,4242.0,3.9932292338926563,Out of Stock,47.0
A,3348.0,3.0405392671861478,In Stock,16.0
B,4592.0,3.0405392671861478,Out of Stock,25.0
A,5074.0,3.0405392671861478,Out of Stock,41.0
B,3742.0,4.209122065619451,In Stock,19.0
D,454.0,3.0405392671861478,Out of Stock,32.0
B,9658.0,3.0405392671861478,Out of Stock,15.0
B,4198.0,3.0405392671861478,Out of Stock,29.0
A,6336.0,3.648349511115054,In Stock,11.0
B,9794.0,4.433559680432691,In Stock,39.0
D,2201.0,3.0405392671861478,In Stock,25.0
B,5323.0,3.0405392671861478,Out of Stock,16.0
A,9152.0,4.768849526844075,Out of Stock,11.0
B,5420.0,3.0405392671861478,Out of Stock,21.0
D,4763.0,3.0405392671861478,Out of Stock,11.0
B,247.0,3.0405392671861478,In Stock,24.53860160233066
B,2060.0,4.743226107544174,Out of Stock,24.53860160233066
A,3372.0,3.0405392671861478,In Stock,5.0
B,3299.0,3.004898449740812,Out of Stock,32.0
B,2107.0,3.0405392671861478,Out of Stock,11.0
B,1853.0,3.0405392671861478,Out of Stock,11.0
C,8773.0,3.892084161133099,Out of Stock,24.53860160233066
C,8398.0,3.407813914668218,Out of Stock,4.0
B,8334.0,2.562769446410627,In Stock,16.0
B,2790.0,3.0405392671861478,In Stock,24.53860160233066
B,6781.0,3.0405392671861478,Out of Stock,21.0
B,1215.0,2.382519172332373,In Stock,30.0
A,5024.705208333334,3.0405392671861478,In Stock,14.0
B,8857.0,3.0405392671861478,In Stock,15.0
D,2882.0,3.6918874805652355,Out of Stock,24.53860160233066
B,6234.0,3.0405392671861478,In Stock,28.0
B,1214.0,1.4889967970912377,In Stock,4.0
A,6991.0,1.0991491374509073,In Stock,21.0
B,3364.0,3.0405392671861478,Out of Stock,3.0
B,8785.0,1.231135979753843,Out of Stock,11.0
B,7313.0,3.0405392671861478,Out of Stock,1.0
B,8760.0,3.0405392671861478,In Stock,49.0
B,7933.0,3.0405392671861478,In Stock,36.0
B,6092.0,2.596015227920722,Out of Stock,39.0
B,5178.0,3.33510540123526,In Stock,20.0
B,8863.0,3.0405392671861478,Out of Stock,24.53860160233066
D,8514.0,4.704094088630431,Out of Stock,46.0
A,7939.0,1.8201379880557416,Out of Stock,48.0
A,1439.0,1.4998089235235899,In Stock,28.0
B,6981.0,3.0405392671861478,Out of Stock,24.0
B,7682.0,2.309511396277151,Out of Stock,22.0
B,5937.0,3.0405392671861478,In Stock,24.53860160233066
A,185.0,3.0405392671861478,Out of Stock,9.0
B,5796.0,3.0405392671861478,In Stock,44.0
B,3646.0,3.0405392671861478,Out of Stock,33.0
B,1523.0,1.246447333974714,Out of Stock,22.0
B,9483.0,2.8233289222448383,In Stock,24.53860160233066
B,7897.0,3.0405392671861478,In Stock,27.0
C,7384.0,3.0405392671861478,Out of Stock,24.0
A,597.0,3.0405392671861478,Out of Stock,40.0
B,6194.0,3.223523933580829,In Stock,14.0
B,1454.0,3.0405392671861478,In Stock,37.0
D,5024.705208333334,3.0405392671861478,In Stock,43.0
B,1401.0,3.0405392671861478,In Stock,24.53860160233066
B,9590.0,3.0405392671861478,In Stock,41.0
B,4467.0,3.0405392671861478,In Stock,0.0
B,8003.0,1.2719634103923183,Out of Stock,5.0
B,5934.0,3.0405392671861478,In Stock,18.0
B,3204.0,3.0852183136217635,In Stock,35.0
B,8557.0,3.0405392671861478,Out of Stock,10.0
D,3152.0,1.5743799713874789,In Stock,6.0
B,1386.0,3.0405392671861478,In Stock,23.0
D,6728.0,3.0405392671861478,In Stock,39.0
B,2194.0,1.0642261261459067,Out of Stock,22.0
B,7452.0,3.0405392671861478,In Stock,14.0
B,5192.0,1.6641113816121256,Out of Stock,24.53860160233066
B,9782.0,2.4710808624600396,In Stock,24.53860160233066
B,5036.0,3.0405392671861478,Out of Stock,24.53860160233066
B,4740.0,3.0405392671861478,Out of Stock,42.0
D,1263.0,3.0405392671861478,In Stock,24.53860160233066
D,8357.0,1.7571129612090046,In Stock,37.0
C,4883.0,3.356603181776897,In Stock,20.0
C,8437.0,3.8760059480193076,Out of Stock,21.0
B,3543.0,3.545775898544579,In Stock,6.0
C,6441.0,3.0405392671861478,In Stock,0.0
A,8882.0,3.0405392671861478,In Stock,28.0
D,731.0,3.0405392671861478,In Stock,16.0
B,9812.0,3.75916033493222,In Stock,25.0
B,7728.0,3.422209755291833,In Stock,45.0
D,1824.0,1.0909424221396073,In Stock,3.0
B,3447.0,3.0405392671861478,Out of Stock,45.0
B,7622.0,2.701567654531968,In Stock,15.0
B,3420.0,1.1848571459127912,In Stock,19.0
B,8741.0,3.9324410936844454,Out of Stock,24.53860160233066
A,3745.0,4.205694490998896,In Stock,9.0
B,3042.0,3.0405392671861478,Out of Stock,16.0
B,2400.0,1.3811725819930412,Out of Stock,34.0
C,4096.0,3.0405392671861478,In Stock,42.0
B,4157.0,3.0405392671861478,Out of Stock,30.0
B,5339.0,3.0405392671861478,Out of Stock,39.0
D,4602.0,3.0405392671861478,Out of Stock,17.0
D,1966.0,4.343531411256285,In Stock,4.0
D,7406.0,3.6641339490192313,In Stock,24.53860160233066
B,2708.0,4.139442600627813,In Stock,44.0
B,5024.705208333334,1.0658018308663384,In Stock,7.0
D,1222.0,3.0405392671861478,Out of Stock,49.0
B,3681.0,3.0405392671861478,Out of Stock,8.0
D,9430.0,1.948900071416542,In Stock,15.0
A,1328.0,3.0405392671861478,Out of Stock,30.0
C,6185.0,4.989849874633716,Out of Stock,39.0
B,5541.0,3.0405392671861478,In Stock,7.0
B,9933.0,3.0405392671861478,Out of Stock,40.0
B,4323.0,3.0405392671861478,Out of Stock,45.0
B,575.0,3.1808694263755917,In Stock,40.0
B,5611.0,3.0405392671861478,Out of Stock,33.0
D,3767.0,3.0405392671861478,Out of Stock,33.0
B,5666.0,2.8366771871128216,In Stock,49.0
A,7967.0,3.7150568192563207,In Stock,42.0
B,1011.0,3.1505195801145547,Out of Stock,10.0
B,5364.0,3.0405392671861478,In Stock,29.0
B,1838.0,3.3811675728802784,Out of Stock,18.0
B,5024.705208333334,3.1852193809894898,In Stock,21.0
B,2997.0,1.1906524666363043,In Stock,16.0
B,2437.0,4.981286011728434,In Stock,24.53860160233066
C,3034.0,3.7693396638196175,Out of Stock,11.0
B,4573.0,1.8230936667496573,In Stock,5.0
C,2466.0,2.521499443938243,In Stock,44.0
B,2242.0,3.0405392671861478,In Stock,13.0
B,2527.0,4.841731762239563,Out of Stock,49.0
B,1378.0,3.0405392671861478,In Stock,44.0
B,4960.0,3.991063665027448,Out of Stock,31.0
B,5019.0,3.0405392671861478,Out of Stock,17.0
B,8568.0,2.2696349378168175,In Stock,15.0
B,4905.0,3.0405392671861478,Out of Stock,23.0
B,9922.0,4.966695979833901,In Stock,42.0
A,4519.0,4.487539498587778,In Stock,39.0
B,7967.0,3.0405392671861478,In Stock,13.0
C,2740.0,3.0405392671861478,In Stock,0.0
C,9069.0,3.0405392671861478,In Stock,28.0
B,743.0,3.2666453009250938,In Stock,24.53860160233066
B,6703.0,3.0405392671861478,In Stock,9.0
B,5024.705208333334,1.8028285225132024,Out of Stock,19.0
B,7842.0,3.5875890463626194,In Stock,16.0
A,6161.0,2.0128979503732762,Out of Stock,18.0
C,6083.0,2.2334745161481906,Out of Stock,36.0
B,4369.0,4.08384965154126,Out of Stock,8.0
B,6546.0,3.0405392671861478,In Stock,49.0
B,2810.0,2.9125953662049064,In Stock,47.0
B,5181.0,3.0405392671861478,In Stock,44.0
A,6848.0,4.927541879935664,Out of Stock,26.0
B,968.0,1.0460489719471595,In Stock,42.0
D,1999.0,3.6136907627431376,Out of Stock,20.0
A,1138.0,4.7438746861252925,In Stock,4.0
B,9151.0,1.2258741719753914,In Stock,18.0
B,1351.0,2.7391381724901405,In Stock,3.0
C,1132.0,2.043756275903754,Out of Stock,12.0
B,4874.0,3.0405392671861478,In Stock,20.0
D,5024.705208333334,4.019948636447628,Out of Stock,5.0
B,1112.0,3.0405392671861478,Out of Stock,1.0
B,7446.0,3.0405392671861478,In Stock,42.0
B,4877.0,3.0405392671861478,In Stock,30.0
B,5350.0,3.0405392671861478,Out of Stock,27.0
C,7050.0,3.0405392671861478,In Stock,37.0
B,6363.0,3.7407621095980286,Out of Stock,13.0
B,7639.0,3.0405392671861478,Out of Stock,33.0
B,1253.0,3.0405392671861478,In Stock,24.0
B,4657.0,3.0405392671861478,In Stock,30.0
B,5411.0,3.0405392671861478,Out of Stock,24.53860160233066
B,3130.0,3.0405392671861478,In Stock,3.0
D,4062.0,3.5196211072832964,Out of Stock,24.53860160233066
B,8290.0,3.0405392671861478,In Stock,24.53860160233066
B,4264.0,3.909681734397807,In Stock,3.0
B,3030.0,4.987106105235494,Out of Stock,37.0
B,105.0,1.5633995804439635,Out of Stock,31.0
B,9551.0,3.0405392671861478,Out of Stock,4.0
B,9269.0,3.0405392671861478,Out of Stock,10.0
B,9928.0,3.0405392671861478,In Stock,27.0
B,7405.0,3.0405392671861478,In Stock,31.0
B,4552.0,1.7649183166745015,Out of Stock,28.0
B,9251.0,3.0405392671861478,Out of Stock,19.0
B,9159.0,4.0598650529882185,Out of Stock,9.0
B,3652.0,3.5590278540381695,In Stock,24.0
B,7022.0,1.5163202397740227,Out of Stock,14.0
D,547.0,1.4760992404140794,In Stock,15.0
B,5107.0,3.0405392671861478,In Stock,17.0
B,6717.0,4.740635466189817,In Stock,20.0
B,3245.0,4.319033347026181,Out of Stock,14.0
B,7120.0,3.4530845482900854,Out of Stock,33.0
A,5024.705208333334,3.0405392671861478,In Stock,18.0
D,6841.0,1.9837671407858215,Out of Stock,28.0
B,5059.0,3.0405392671861478,Out of Stock,16.0
B,5194.0,3.0162834320986356,Out of Stock,12.0
B,8144.0,3.0405392671861478,In Stock,18.0
B,8378.0,1.093233748201139,Out of Stock,35.0
B,7901.0,3.881902706335059,In Stock,31.0
A,7316.0,1.1431668188554256,In Stock,0.0
B,3029.0,3.0405392671861478,Out of Stock,24.53860160233066
B,2197.0,1.7703280256450928,Out of Stock,30.0
A,2030.0,3.0405392671861478,Out of Stock,24.53860160233066
B,5024.705208333334,3.0405392671861478,In Stock,44.0
B,9213.0,3.0405392671861478,Out of Stock,47.0
B,1422.0,2.2261399791401497,Out of Stock,28.0
B,1258.0,2.581632085681167,In Stock,29.0
B,8763.0,4.802447804876793,Out of Stock,11.0
B,6433.0,1.7904221543739025,In Stock,24.53860160233066
B,7440.0,3.0405392671861478,Out of Stock,25.0
A,5024.705208333334,2.726068144497116,Out of Stock,34.0
B,7003.0,3.0405392671861478,In Stock,3.0
B,7088.0,4.278213985580585,Out of Stock,26.0
B,2723.0,3.0405392671861478,In Stock,44.0
B,3928.0,3.0405392671861478,In Stock,9.0
B,4732.0,3.0405392671861478,Out of Stock,45.0
D,3056.0,3.0405392671861478,In Stock,3.0
B,8187.0,2.3925842757960387,Out of Stock,25.0
C,4882.0,3.0405392671861478,In Stock,8.0
B,834.0,4.433580489430772,Out of Stock,42.0
B,1398.0,3.0405392671861478,In Stock,13.0
B,4700.0,1.3115500364157064,Out of Stock,22.0
B,4601.0,3.393927340735492,Out of Stock,7.0
C,873.0,3.0405392671861478,In Stock,15.0
B,1398.0,3.348483731254529,Out of Stock,31.0
B,8686.0,4.033833309413983,Out of Stock,11.0
B,166.0,4.983784435131211,Out of Stock,45.0
B,4374.0,1.124329677551391,In Stock,13.0
B,9265.0,3.0405392671861478,In Stock,47.0
D,9181.0,3.0405392671861478,Out of Stock,14.0
B,9966.0,3.0405392671861478,Out of Stock,16.0
B,7087.0,3.0405392671861478,Out of Stock,47.0
D,3673.0,2.919233192395452,Out of Stock,40.0
B,2470.0,2.7908227007992448,Out of Stock,23.0
A,7870.0,3.0405392671861478,Out of Stock,45.0
B,9526.0,3.0405392671861478,In Stock,5.0
B,5024.705208333334,2.7353258128642164,In Stock,47.0
B,6313.0,4.445257201955261,Out of Stock,18.0
A,1188.0,2.5155349926474044,In Stock,31.0
B,2365.0,3.0405392671861478,Out of Stock,31.0
B,288.0,2.001250539770596,In Stock,11.0
B,5009.0,3.082572756233187,Out of Stock,37.0
B,9634.0,3.0405392671861478,In Stock,48.0
B,233.0,2.6477358315475197,In Stock,7.0
C,808.0,3.0405392671861478,In Stock,9.0
D,2736.0,2.4659582197492225,In Stock,12.0
B,2232.0,2.41188537000306,In Stock,2.0
B,9229.0,3.9124811187074893,In Stock,40.0
B,5024.705208333334,1.7019498581791859,Out of Stock,35.0
B,6409.0,3.8431821737554244,Out of Stock,35.0
B,6220.0,3.0405392671861478,In Stock,44.0
B,9759.0,3.0405392671861478,In Stock,5.0
B,7023.0,3.505974195903742,In Stock,24.53860160233066
B,6842.0,3.0405392671861478,In Stock,14.0
B,2291.0,3.0405392671861478,In Stock,29.0
B,5948.0,3.0405392671861478,Out of Stock,24.53860160233066
B,993.0,3.714865605632546,In Stock,41.0
B,8700.0,3.0405392671861478,In Stock,30.0
B,2998.0,4.0855145915665805,In Stock,7.0
C,5024.705208333334,3.0405392671861478,In Stock,29.0
B,6281.0,2.7161341338275706,In Stock,41.0
B,7092.0,3.0405392671861478,In Stock,25.0
C,5024.705208333334,3.0405392671861478,Out of Stock,34.0
C,4037.0,1.4799516752759847,In Stock,43.0
A,8210.0,3.0405392671861478,Out of Stock,10.0
A,5393.0,1.076529754775847,In Stock,47.0
C,3441.0,2.0725125805758653,In Stock,37.0
B,5040.0,2.8468233440122326,In Stock,39.0
B,3098.0,3.0405392671861478,In Stock,21.0
B,5659.0,3.0405392671861478,In Stock,23.0
B,4650.0,3.3630351600854507,In Stock,3.0
B,860.0,3.0405392671861478,In Stock,28.0
A,4207.0,3.0405392671861478,Out of Stock,15.0
C,8305.0,2.9378833606705044,In Stock,31.0
B,4499.0,4.720944427861104,In Stock,13.0
B,8795.0,3.0405392671861478,In Stock,15.0
B,3947.0,3.0405392671861478,In Stock,39.0
B,9466.0,3.0405392671861478,In Stock,34.0
B,8214.0,1.5549002821172042,In Stock,19.0
C,6046.0,1.2165108660654584,In Stock,12.0
A,8200.0,3.0405392671861478,In Stock,22.0
B,7809.0,3.0405392671861478,In Stock,17.0
B,1999.0,3.0405392671861478,Out of Stock,29.0
B,193.0,3.0405392671861478,In Stock,39.0
B,4765.0,3.0405392671861478,Out of Stock,27.0
B,3141.0,3.0405392671861478,In Stock,13.0
B,6168.0,3.0405392671861478,Out of Stock,24.0
B,5146.0,3.0405392671861478,In Stock,23.0
B,5024.705208333334,1.4952618710386543,Out of Stock,47.0
B,1525.0,4.973268895808591,Out of Stock,46.0
B,7785.0,1.4218983359461497,Out of Stock,39.0
D,9107.0,2.4692634625224508,In Stock,23.0
B,5024.705208333334,3.0405392671861478,In Stock,37.0
B,2809.0,3.8983577552257755,Out of Stock,28.0
A,7013.0,3.0405392671861478,Out of Stock,47.0
B,4089.0,3.0405392671861478,Out of Stock,34.0
B,9491.0,3.0405392671861478,Out of Stock,25.0
A,302.0,3.0405392671861478,In Stock,30.0
A,6586.0,3.970816749781454,Out of Stock,13.0
B,3121.0,3.249918034197108,Out of Stock,43.0
B,1880.0,4.177729957156087,Out of Stock,33.0
C,3051.0,1.0526185086774729,In Stock,41.0
B,5284.0,4.724694014664168,In Stock,45.0
B,3582.0,3.0405392671861478,Out of Stock,43.0
B,9200.0,3.98414667119676,In Stock,23.0
C,9372.0,2.3077383007026233,Out of Stock,26.0
B,6241.0,3.0405392671861478,In Stock,44.0
D,8713.0,4.836304462671157,Out of Stock,38.0
B,4272.0,1.004562586787951,Out of Stock,32.0
B,3440.0,1.8049726006239553,In Stock,24.53860160233066
B,4648.0,4.242985532671364,In Stock,44.0
B,340.0,4.88631078743493,Out of Stock,27.0
B,882.0,3.0461031724708905,Out of Stock,11.0
B,9787.0,4.34902126331784,In Stock,25.0
C,5024.705208333334,4.0738973004330585,Out of Stock,24.53860160233066
B,4752.0,2.8241109135058595,Out of Stock,20.0
B,5870.0,3.0405392671861478,Out of Stock,15.0
B,1519.0,2.6793881462390496,Out of Stock,32.0
D,3510.0,3.0405392671861478,Out of Stock,28.0
B,699.0,4.375838109543215,In Stock,9.0
B,1860.0,2.3263582343568427,In Stock,48.0
B,9630.0,3.0405392671861478,In Stock,21.0
A,6253.0,3.0405392671861478,In Stock,24.53860160233066
D,1533.0,3.0405392671861478,Out of Stock,24.53860160233066
